"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
1,5.7,1,18,0,0.5,1,2.54,0.3,22.34
2,3.45,1,13,0,0.5,3,5.54,0.3,22.34
2,4.09,1,14,0,0.5,4.07,5.54,0.3,24.41
1,16.92,1,52,0,0.5,10,5.54,0.3,68.34
1,19.5,1,52,0,0.5,11.65,5.54,0.3,69.99
1,8.81,1,26,0,0.5,5,5.54,0.3,37.34
2,7,1,20,0,0.5,6.55,5.54,0.3,32.89
1,12.4,1,35.5,0,0.5,5,5.54,0.3,46.84
1,11.1,1,30.5,0,0.5,7.37,5.54,0.3,44.21
1,12.5,1,34,0,0.5,5,5.54,0.3,45.34
2,18.1,1,52,0,0.5,11.66,5.54,0.3,70
2,17.77,1,52,0,0.5,11.67,5.54,0.3,70.01
1,18.93,1,52,0,0.5,5,5.54,0.3,63.34
1,17.79,1,52,0,0.5,11.67,5.54,0.3,70.01
1,11.97,1,36,0,0.5,8.47,5.54,0.3,50.81
2,12.42,1,34,0,0.5,12.1,5.54,0.3,52.44
2,7.9,1,22,0,0.5,5,5.54,0.3,33.34
1,10.12,1,30,0,0.5,7.27,5.54,0.3,43.61
1,17.73,1,52,0,0.5,11.67,5.54,0.3,70.01
1,23.23,1,61.5,0,0.5,10,5.54,0.3,77.84
1,7.77,1,25,0,0.5,3,5.54,0.3,34.34
1,8.4,1,24.5,0,0.5,6.15,5.54,0.3,36.99
1,8.28,1,23.5,0,0.5,5.97,5.54,0.3,35.81
1,8.2,1,23,0,0.5,5.85,5.54,0.3,35.19
1,20.6,1,52,0,0.5,14.55,5.54,0.3,72.89
1,19.36,1,52,0,0.5,10,5.54,0.3,68.34
1,5.86,1,17.5,0,0.5,4.77,5.54,0.3,28.61
2,9.7,1,28.5,0,0.5,2,5.54,0.3,36.84
2,18,1,52,0,0.5,11.65,5.54,0.3,69.99
1,9.92,1,28,0,0.5,8.58,5.54,0.3,42.92
2,9,1,26,0,0.5,6.46,5.54,0.3,38.8
1,7.06,1,21.5,0,0.5,5.57,5.54,0.3,33.41
1,18.5,1,52,0,0.5,5,5.54,0.3,63.34
1,5.3,1,17.5,0,0.5,4.75,5.54,0.3,28.59
1,17.3,1,52,0,0.5,5,5.54,0.3,63.34
